ATM Name,Transaction Date,No Of Withdrawals,Total amount Withdrawn (Rupee),Total amount Withdrawn (Rupiah),Weekday
Airport ATM,17/09/15,46,177200,33116908,Thursday
KK Nagar ATM,17/09/15,29,76900,14371841,Thursday
Christ College ATM,17/09/15,69,283900,53058071,Thursday
Big Street ATM,18/09/15,123,405600,75802584,Friday
Mount Road ATM,18/09/15,126,469900,87819611,Friday
Airport ATM,18/09/15,39,179600,33565444,Friday
KK Nagar ATM,18/09/15,50,225200,42087628,Friday
Christ College ATM,18/09/15,120,429200,80213188,Friday
Big Street ATM,19/09/15,138,478800,89482932,Saturday
Mount Road ATM,19/09/15,163,664000,124094960,Saturday
Airport ATM,19/09/15,68,506700,94697163,Saturday
KK Nagar ATM,19/09/15,24,91400,17081746,Saturday
Christ College ATM,19/09/15,119,512800,95837192,Saturday
Big Street ATM,20/09/15,127,508300,94996187,Sunday
Mount Road ATM,20/09/15,158,472900,88380281,Sunday
Airport ATM,20/09/15,53,284600,53188894,Sunday
KK Nagar ATM,20/09/15,61,204600,38237694,Sunday
Christ College ATM,20/09/15,101,338500,63262265,Sunday
Big Street ATM,21/09/15,107,448700,83857543,Monday
Mount Road ATM,21/09/15,139,582800,108919492,Monday
Airport ATM,21/09/15,51,270800,50609812,Monday
KK Nagar ATM,21/09/15,73,416600,77858374,Monday
Christ College ATM,21/09/15,144,574200,107312238,Monday
Big Street ATM,22/09/15,82,372200,69560458,Tuesday
Mount Road ATM,22/09/15,140,517500,96715575,Tuesday
Airport ATM,22/09/15,88,456100,85240529,Tuesday
KK Nagar ATM,22/09/15,55,263900,49320271,Tuesday
Christ College ATM,22/09/15,127,557000,104097730,Tuesday
Big Street ATM,23/09/15,114,361500,67560735,Wednesday
Mount Road ATM,23/09/15,132,533800,99761882,Wednesday
Airport ATM,23/09/15,84,485300,90697717,Wednesday
KK Nagar ATM,23/09/15,111,568500,106246965,Wednesday
Christ College ATM,23/09/15,91,325100,60757939,Wednesday
Big Street ATM,24/09/15,128,479800,89669822,Thursday
Mount Road ATM,24/09/15,156,480500,89800645,Thursday
Airport ATM,24/09/15,70,373600,69822104,Thursday
KK Nagar ATM,24/09/15,33,196100,36649129,Thursday
Christ College ATM,24/09/15,97,343500,64196715,Thursday
Big Street ATM,25/09/15,112,324000,60552360,Friday
Mount Road ATM,25/09/15,189,744000,139046160,Friday
Airport ATM,25/09/15,43,155200,29005328,Friday
KK Nagar ATM,25/09/15,26,157500,29435175,Friday
Christ College ATM,25/09/15,103,380700,71149023,Friday
Big Street ATM,26/09/15,106,304900,56982761,Saturday
Mount Road ATM,26/09/15,174,579300,108265377,Saturday
Airport ATM,26/09/15,71,266400,49787496,Saturday
KK Nagar ATM,26/09/15,9,30700,5737523,Saturday
Christ College ATM,26/09/15,126,525100,98135939,Saturday
Big Street ATM,27/09/15,117,324900,60720561,Sunday
Mount Road ATM,27/09/15,151,328100,61318609,Sunday
Airport ATM,27/09/15,44,92000,17193880,Sunday
KK Nagar ATM,27/09/15,2,15500,2896795,Sunday
Christ College ATM,27/09/15,82,190100,35527789,Sunday
Big Street ATM,28/09/15,82,322700,60309403,Monday
Mount Road ATM,28/09/15,227,801000,149698890,Monday
Airport ATM,28/09/15,68,505800,94528962,Monday
KK Nagar ATM,28/09/15,1,1500,280335,Monday
Christ College ATM,28/09/15,132,597100,111592019,Monday
Big Street ATM,29/09/15,131,572900,107069281,Tuesday
Mount Road ATM,29/09/15,183,670300,125272367,Tuesday
Airport ATM,29/09/15,69,395300,73877617,Tuesday
KK Nagar ATM,29/09/15,31,169900,31752611,Tuesday
Christ College ATM,29/09/15,124,603500,112788115,Tuesday
Big Street ATM,30/09/15,141,550500,102882945,Wednesday
Mount Road ATM,30/09/15,123,549600,102714744,Wednesday
Airport ATM,30/09/15,71,358800,67056132,Wednesday
KK Nagar ATM,30/09/15,51,223700,41807293,Wednesday
Christ College ATM,30/09/15,116,674800,126113372,Wednesday
Big Street ATM,01/10/15,161,681300,127328157,Thursday
Mount Road ATM,01/10/15,221,890800,166481612,Thursday
Airport ATM,01/10/15,62,289500,54104655,Thursday
KK Nagar ATM,01/10/15,137,721000,134747690,Thursday
Christ College ATM,01/10/15,161,917200,171415508,Thursday
Big Street ATM,02/10/15,109,360600,67392534,Friday
Mount Road ATM,02/10/15,179,544400,101742916,Friday
KK Nagar ATM,02/10/15,121,696800,130224952,Friday
Christ College ATM,02/10/15,109,520700,97313623,Friday
Big Street ATM,03/10/15,122,376800,70420152,Saturday
Mount Road ATM,03/10/15,228,1040300,194421667,Saturday
Airport ATM,03/10/15,15,62200,11624558,Saturday
KK Nagar ATM,03/10/15,40,148600,27771854,Saturday
Christ College ATM,03/10/15,130,739200,138149088,Saturday
Big Street ATM,04/10/15,100,390900,73055301,Sunday
Mount Road ATM,04/10/15,152,433300,80979437,Sunday
Airport ATM,04/10/15,38,71700,13400013,Sunday
KK Nagar ATM,04/10/15,95,480500,89800645,Sunday
Christ College ATM,04/10/15,129,633600,118413504,Sunday
Big Street ATM,05/10/15,129,539400,100808466,Monday
Mount Road ATM,05/10/15,275,1410700,263645723,Monday
Airport ATM,05/10/15,21,59400,11101266,Monday
KK Nagar ATM,05/10/15,120,650000,121478500,Monday
Christ College ATM,05/10/15,165,845100,157940739,Monday
Big Street ATM,06/10/15,115,467700,87408453,Tuesday
Mount Road ATM,06/10/15,247,1134300,211989327,Tuesday
Airport ATM,06/10/15,37,73100,13661659,Tuesday
KK Nagar ATM,06/10/15,74,364800,68177472,Tuesday
Christ College ATM,06/10/15,186,960500,179507845,Tuesday
Big Street ATM,07/10/15,78,377400,70532286,Wednesday
Mount Road ATM,07/10/15,228,1023300,191244537,Wednesday
Airport ATM,07/10/15,41,173900,32500171,Wednesday
KK Nagar ATM,07/10/15,82,623700,116563293,Wednesday
Christ College ATM,07/10/15,188,1024600,191487494,Wednesday
Big Street ATM,08/10/15,135,521300,97425757,Thursday
Mount Road ATM,08/10/15,245,1032600,192982614,Thursday
Airport ATM,08/10/15,3,11800,2205302,Thursday
KK Nagar ATM,08/10/15,84,453400,84735926,Thursday
Christ College ATM,08/10/15,112,540400,100995356,Thursday
Big Street ATM,09/10/15,117,374600,70008994,Friday
Mount Road ATM,09/10/15,198,618700,115628843,Friday
Airport ATM,09/10/15,11,31600,5905724,Friday
KK Nagar ATM,09/10/15,74,413600,77297704,Friday
Christ College ATM,09/10/15,116,580100,108414889,Friday
Big Street ATM,10/10/15,176,676200,126375018,Saturday
Mount Road ATM,10/10/15,240,943300,176293337,Saturday
Airport ATM,10/10/15,72,265100,49544539,Saturday
KK Nagar ATM,10/10/15,130,740100,138317289,Saturday
Christ College ATM,10/10/15,118,516000,96435240,Saturday
Big Street ATM,11/10/15,125,372500,69616525,Sunday
Mount Road ATM,11/10/15,256,672600,125702214,Sunday
Airport ATM,11/10/15,64,494700,92454483,Sunday
KK Nagar ATM,11/10/15,75,359000,67093510,Sunday
Christ College ATM,11/10/15,101,342000,63916380,Sunday
Big Street ATM,12/10/15,119,515500,96341795,Monday
Mount Road ATM,12/10/15,242,981000,183339090,Monday
Airport ATM,12/10/15,5,61500,11493735,Monday
KK Nagar ATM,12/10/15,113,936100,174947729,Monday
Christ College ATM,12/10/15,141,565400,105667606,Monday
Big Street ATM,13/10/15,122,302800,56590292,Tuesday
Mount Road ATM,13/10/15,206,858300,160407687,Tuesday
Airport ATM,13/10/15,54,345500,64570495,Tuesday
KK Nagar ATM,13/10/15,70,322200,60215958,Tuesday
Christ College ATM,13/10/15,24,51500,9624835,Tuesday
Big Street ATM,14/10/15,121,443200,82829648,Wednesday
Mount Road ATM,14/10/15,177,694100,129720349,Wednesday
Airport ATM,14/10/15,72,390700,73017923,Wednesday
KK Nagar ATM,14/10/15,105,750200,140204878,Wednesday
Christ College ATM,14/10/15,146,645400,120618806,Wednesday
Big Street ATM,15/10/15,141,556500,104004285,Thursday
Mount Road ATM,15/10/15,199,771900,144260391,Thursday
Airport ATM,15/10/15,60,227400,42498786,Thursday
KK Nagar ATM,15/10/15,72,363200,67878448,Thursday
Christ College ATM,15/10/15,140,735200,137401528,Thursday
Big Street ATM,16/10/15,95,325200,60776628,Friday
Mount Road ATM,16/10/15,171,488900,91370521,Friday
Airport ATM,16/10/15,41,162700,30407003,Friday
KK Nagar ATM,16/10/15,90,514600,96173594,Friday
Christ College ATM,16/10/15,112,415400,77634106,Friday
Big Street ATM,17/10/15,141,476700,89090463,Saturday
Mount Road ATM,17/10/15,246,833200,155716748,Saturday
Airport ATM,17/10/15,1,100,18689,Saturday
KK Nagar ATM,17/10/15,250,1340000,250432600,Saturday
Christ College ATM,17/10/15,154,858900,160519821,Saturday
Big Street ATM,18/10/15,148,448700,83857543,Sunday
Mount Road ATM,18/10/15,178,476800,89109152,Sunday
KK Nagar ATM,18/10/15,140,608800,113778632,Sunday
Christ College ATM,18/10/15,61,121500,22707135,Sunday
Big Street ATM,19/10/15,119,411900,76979991,Monday
Mount Road ATM,19/10/15,178,686100,128225229,Monday
Airport ATM,19/10/15,1,100,18689,Monday
KK Nagar ATM,19/10/15,151,923200,172536848,Monday
Christ College ATM,19/10/15,127,381800,71354602,Monday
Big Street ATM,20/10/15,116,480400,89781956,Tuesday
Mount Road ATM,20/10/15,134,512800,95837192,Tuesday
Airport ATM,20/10/15,59,283500,52983315,Tuesday
KK Nagar ATM,20/10/15,177,924000,172686360,Tuesday
Christ College ATM,20/10/15,149,786900,147063741,Tuesday
Big Street ATM,21/10/15,121,375400,70158506,Wednesday
Mount Road ATM,21/10/15,165,610900,114171101,Wednesday
Airport ATM,21/10/15,45,216400,40442996,Wednesday
KK Nagar ATM,21/10/15,117,438300,81913887,Wednesday
Christ College ATM,21/10/15,93,300000,56067000,Wednesday
Big Street ATM,22/10/15,121,286900,53618741,Thursday
Mount Road ATM,22/10/15,161,554100,103555749,Thursday
Airport ATM,22/10/15,55,244700,45731983,Thursday
KK Nagar ATM,22/10/15,93,296600,55431574,Thursday
Christ College ATM,22/10/15,54,69600,13007544,Thursday
Big Street ATM,23/10/15,98,231600,43283724,Friday
Mount Road ATM,23/10/15,147,447600,83651964,Friday
Airport ATM,23/10/15,45,283600,53002004,Friday
KK Nagar ATM,23/10/15,118,528700,98808743,Friday
Christ College ATM,23/10/15,81,397900,74363531,Friday
Big Street ATM,24/10/15,129,376700,70401463,Saturday
Mount Road ATM,24/10/15,221,702900,131364981,Saturday
Airport ATM,24/10/15,74,367500,68682075,Saturday
KK Nagar ATM,24/10/15,12,66800,12484252,Saturday
Christ College ATM,24/10/15,127,502600,93930914,Saturday
Big Street ATM,25/10/15,126,399000,74569110,Sunday
Mount Road ATM,25/10/15,135,476200,88997018,Sunday
Airport ATM,25/10/15,41,77800,14540042,Sunday
KK Nagar ATM,25/10/15,104,335400,62682906,Sunday
Christ College ATM,25/10/15,98,248900,46516921,Sunday
Big Street ATM,26/10/15,135,468700,87595343,Monday
Mount Road ATM,26/10/15,158,565400,105667606,Monday
Airport ATM,26/10/15,55,218400,40816776,Monday
KK Nagar ATM,26/10/15,227,1126800,210587652,Monday
Christ College ATM,26/10/15,103,380500,71111645,Monday
Big Street ATM,27/10/15,124,347800,65000342,Tuesday
Mount Road ATM,27/10/15,167,516200,96472618,Tuesday
Airport ATM,27/10/15,86,462000,86343180,Tuesday
KK Nagar ATM,27/10/15,110,749900,140148811,Tuesday
Christ College ATM,27/10/15,90,343000,64103270,Tuesday
Big Street ATM,28/10/15,134,561300,104901357,Wednesday
Mount Road ATM,28/10/15,192,543700,101612093,Wednesday
Airport ATM,28/10/15,34,82100,15343669,Wednesday
KK Nagar ATM,28/10/15,21,77100,14409219,Wednesday
Christ College ATM,28/10/15,149,549500,102696055,Wednesday
Big Street ATM,29/10/15,135,546400,102116696,Thursday
Mount Road ATM,29/10/15,180,640600,119721734,Thursday
Airport ATM,29/10/15,56,347700,64981653,Thursday
Christ College ATM,29/10/15,98,454200,84885438,Thursday
Big Street ATM,30/10/15,122,448600,83838854,Friday
Mount Road ATM,30/10/15,189,693700,129645593,Friday
Airport ATM,30/10/15,53,334700,62552083,Friday
KK Nagar ATM,30/10/15,108,747100,139625519,Friday
Christ College ATM,30/10/15,130,717000,134000130,Friday
Big Street ATM,31/10/15,202,889100,166163899,Saturday
Mount Road ATM,31/10/15,247,1047500,195767275,Saturday
Airport ATM,31/10/15,35,217000,40555130,Saturday
KK Nagar ATM,31/10/15,91,494800,92473172,Saturday
Christ College ATM,31/10/15,101,607900,113610431,Saturday
Big Street ATM,01/11/15,164,550200,102826878,Sunday
Mount Road ATM,01/11/15,267,782600,146260114,Sunday
Airport ATM,01/11/15,69,329500,61580255,Sunday
KK Nagar ATM,01/11/15,309,1579800,295248822,Sunday
Christ College ATM,01/11/15,2,3200,598048,Sunday
Big Street ATM,02/11/15,168,692500,129421325,Monday
Mount Road ATM,02/11/15,190,827000,154558030,Monday
Airport ATM,02/11/15,87,501200,93669268,Monday
KK Nagar ATM,02/11/15,124,449300,83969677,Monday
Christ College ATM,02/11/15,133,670800,125365812,Monday
Big Street ATM,03/11/15,153,503500,94099115,Tuesday
Mount Road ATM,03/11/15,243,1004400,187712316,Tuesday
Airport ATM,03/11/15,82,529000,98864810,Tuesday
KK Nagar ATM,03/11/15,52,141500,26444935,Tuesday
Christ College ATM,03/11/15,169,946600,176910074,Tuesday
Big Street ATM,04/11/15,143,617100,115329819,Wednesday
Mount Road ATM,04/11/15,256,1084500,202682205,Wednesday
Airport ATM,04/11/15,87,520400,97257556,Wednesday
KK Nagar ATM,04/11/15,182,1020500,190721245,Wednesday
Christ College ATM,04/11/15,148,747800,139756342,Wednesday
Big Street ATM,05/11/15,140,529000,98864810,Thursday
Mount Road ATM,05/11/15,205,943100,176255959,Thursday
Airport ATM,05/11/15,80,531200,99275968,Thursday
KK Nagar ATM,05/11/15,63,392100,73279569,Thursday
Christ College ATM,05/11/15,154,655200,122450328,Thursday
Big Street ATM,06/11/15,170,784700,146652583,Friday
Mount Road ATM,06/11/15,209,993500,185675215,Friday
Airport ATM,06/11/15,59,268600,50198654,Friday
KK Nagar ATM,06/11/15,34,144500,27005605,Friday
Christ College ATM,06/11/15,178,739300,138167777,Friday
Big Street ATM,07/11/15,151,462100,86361869,Saturday
Mount Road ATM,07/11/15,248,1075500,201000195,Saturday
Airport ATM,07/11/15,132,755500,141195395,Saturday
KK Nagar ATM,07/11/15,148,720300,134616867,Saturday
Christ College ATM,07/11/15,193,1096200,204868818,Saturday
Big Street ATM,08/11/15,176,603400,112769426,Sunday
Mount Road ATM,08/11/15,118,347600,64962964,Sunday
Airport ATM,08/11/15,48,292300,54627947,Sunday
KK Nagar ATM,08/11/15,86,424100,79260049,Sunday
Christ College ATM,08/11/15,50,106900,19978541,Sunday
Big Street ATM,09/11/15,145,552900,103331481,Monday
Mount Road ATM,09/11/15,114,614500,114843905,Monday
KK Nagar ATM,09/11/15,155,330200,61711078,Monday
Christ College ATM,09/11/15,68,469700,87782233,Monday
Big Street ATM,10/11/15,180,876700,163846463,Tuesday
Mount Road ATM,10/11/15,62,239900,44834911,Tuesday
KK Nagar ATM,10/11/15,134,263900,49320271,Tuesday
Christ College ATM,10/11/15,60,284600,53188894,Tuesday
Big Street ATM,11/11/15,157,423900,79222671,Wednesday
Mount Road ATM,11/11/15,90,405600,75802584,Wednesday
Airport ATM,11/11/15,44,256000,47843840,Wednesday
KK Nagar ATM,11/11/15,128,632000,118114480,Wednesday
Christ College ATM,11/11/15,108,524400,98005116,Wednesday
Big Street ATM,12/11/15,109,364600,68140094,Thursday
Mount Road ATM,12/11/15,152,714300,133495527,Thursday
Airport ATM,12/11/15,44,228100,42629609,Thursday
KK Nagar ATM,12/11/15,37,107500,20090675,Thursday
Christ College ATM,12/11/15,141,559200,104508888,Thursday
Big Street ATM,13/11/15,69,183200,34238248,Friday
Mount Road ATM,13/11/15,76,262400,49039936,Friday
Airport ATM,13/11/15,47,256300,47899907,Friday
KK Nagar ATM,13/11/15,75,434500,81203705,Friday
Christ College ATM,13/11/15,134,513300,95930637,Friday
Big Street ATM,14/11/15,157,553300,103406237,Saturday
Mount Road ATM,14/11/15,86,361500,67560735,Saturday
Airport ATM,14/11/15,87,542800,101443892,Saturday
KK Nagar ATM,14/11/15,152,787800,147231942,Saturday
Christ College ATM,14/11/15,123,474000,88585860,Saturday
Big Street ATM,15/11/15,125,492700,92080703,Sunday
Mount Road ATM,15/11/15,41,57400,10727486,Sunday
Airport ATM,15/11/15,45,221600,41414824,Sunday
KK Nagar ATM,15/11/15,119,454600,84960194,Sunday
Christ College ATM,15/11/15,60,179400,33528066,Sunday
Big Street ATM,16/11/15,118,475900,88940951,Monday
Mount Road ATM,16/11/15,97,371000,69336190,Monday
Airport ATM,16/11/15,19,25100,4690939,Monday
KK Nagar ATM,16/11/15,106,596300,111442507,Monday
Christ College ATM,16/11/15,82,336700,62925863,Monday
Big Street ATM,17/11/15,154,666300,124524807,Tuesday
Mount Road ATM,17/11/15,171,759000,141849510,Tuesday
Airport ATM,17/11/15,63,353300,66028237,Tuesday
KK Nagar ATM,17/11/15,16,77100,14409219,Tuesday
Christ College ATM,17/11/15,142,749700,140111433,Tuesday
Big Street ATM,18/11/15,117,365500,68308295,Wednesday
Mount Road ATM,18/11/15,134,430700,80493523,Wednesday
Airport ATM,18/11/15,48,190800,35658612,Wednesday
KK Nagar ATM,18/11/15,121,590900,110433301,Wednesday
Christ College ATM,18/11/15,137,497400,92959086,Wednesday
Big Street ATM,19/11/15,123,365400,68289606,Thursday
Mount Road ATM,19/11/15,106,464900,86885161,Thursday
Airport ATM,19/11/15,55,361800,67616802,Thursday
KK Nagar ATM,19/11/15,18,89800,16782722,Thursday
Christ College ATM,19/11/15,126,501500,93725335,Thursday
Big Street ATM,20/11/15,121,578600,108134554,Friday
Mount Road ATM,20/11/15,44,68100,12727209,Friday
Airport ATM,20/11/15,71,380400,71092956,Friday
KK Nagar ATM,20/11/15,16,87100,16278119,Friday
Christ College ATM,20/11/15,116,434600,81222394,Friday
Big Street ATM,21/11/15,140,452800,84623792,Saturday
Mount Road ATM,21/11/15,145,471500,88118635,Saturday
Airport ATM,21/11/15,91,507200,94790608,Saturday
KK Nagar ATM,21/11/15,89,510800,95463412,Saturday
Christ College ATM,21/11/15,170,758200,141699998,Saturday
Big Street ATM,22/11/15,112,350500,65504945,Sunday
Mount Road ATM,22/11/15,74,305000,57001450,Sunday
Airport ATM,22/11/15,30,103500,19343115,Sunday
Christ College ATM,22/11/15,112,320700,59935623,Sunday
Big Street ATM,23/11/15,119,312000,58309680,Monday
Mount Road ATM,23/11/15,69,218100,40760709,Monday
Airport ATM,23/11/15,39,126700,23678963,Monday
KK Nagar ATM,23/11/15,3,22400,4186336,Monday
Christ College ATM,23/11/15,125,605000,113068450,Monday
Big Street ATM,24/11/15,135,447700,83670653,Tuesday
Mount Road ATM,24/11/15,142,470300,87894367,Tuesday
Airport ATM,24/11/15,44,267800,50049142,Tuesday
KK Nagar ATM,24/11/15,94,349600,65336744,Tuesday
Christ College ATM,24/11/15,108,458800,85745132,Tuesday
Big Street ATM,25/11/15,146,442400,82680136,Wednesday
Mount Road ATM,25/11/15,114,396800,74157952,Wednesday
Airport ATM,25/11/15,51,207500,38779675,Wednesday
KK Nagar ATM,25/11/15,138,673700,125907793,Wednesday
Christ College ATM,25/11/15,157,592500,110732325,Wednesday
Big Street ATM,26/11/15,146,569600,106452544,Thursday
Mount Road ATM,26/11/15,96,444200,83016538,Thursday
Airport ATM,26/11/15,109,449400,83988366,Thursday
KK Nagar ATM,26/11/15,123,632700,118245303,Thursday
Christ College ATM,26/11/15,162,666800,124618252,Thursday
Big Street ATM,27/11/15,143,515400,96323106,Friday
Mount Road ATM,27/11/15,58,208100,38891809,Friday
Airport ATM,27/11/15,85,414300,77428527,Friday
KK Nagar ATM,27/11/15,60,201900,37733091,Friday
Christ College ATM,27/11/15,165,743500,138952715,Friday
Big Street ATM,28/11/15,129,352900,65953481,Saturday
Mount Road ATM,28/11/15,33,68400,12783276,Saturday
Airport ATM,28/11/15,79,505500,94472895,Saturday
KK Nagar ATM,28/11/15,171,921100,172144379,Saturday
Christ College ATM,28/11/15,138,385200,71990028,Saturday
Big Street ATM,29/11/15,145,382300,71448047,Sunday
Mount Road ATM,29/11/15,21,25600,4784384,Sunday
Airport ATM,29/11/15,25,118500,22146465,Sunday
KK Nagar ATM,29/11/15,84,307300,57431297,Sunday
Christ College ATM,29/11/15,3,1400,261646,Sunday
Big Street ATM,30/11/15,149,611100,114208479,Monday
Mount Road ATM,30/11/15,64,248600,46460854,Monday
Airport ATM,30/11/15,93,752500,140634725,Monday
KK Nagar ATM,30/11/15,224,1239700,231687533,Monday
Christ College ATM,30/11/15,191,784500,146615205,Monday
Big Street ATM,01/12/15,181,711900,133046991,Tuesday
Mount Road ATM,01/12/15,34,139700,26108533,Tuesday
Airport ATM,01/12/15,28,218300,40798087,Tuesday
KK Nagar ATM,01/12/15,107,485800,90791162,Tuesday
Christ College ATM,01/12/15,189,990900,185189301,Tuesday
Big Street ATM,02/12/15,148,618400,115572776,Wednesday
Mount Road ATM,02/12/15,3,10000,1868900,Wednesday
KK Nagar ATM,02/12/15,248,1405400,262655206,Wednesday
Christ College ATM,02/12/15,174,980700,183283023,Wednesday
Big Street ATM,03/12/15,148,562200,105069558,Thursday
KK Nagar ATM,03/12/15,210,1101700,205896713,Thursday
